Pan troglodytes,chimpanzee,9598
Homo sapiens,human,9606
Mandrillus leucophaeus,drill,9568
Macaca nemestrina,pig-tailed macaque,9545
Hylobates moloch,silvery gibbon,81572
Nomascus leucogenys,northern white-cheeked gibbon,61853
synthetic construct,NA,32630
Macaca fascicularis,crab-eating macaque,9541
Cercocebus atys,sooty mangabey,9531
Macaca mulatta,Rhesus monkey,9544
Theropithecus gelada,gelada,9565
Microcebus murinus,gray mouse lemur,30608
Propithecus coquereli,Coquerel's sifaka,379532
Gorilla gorilla gorilla,western lowland gorilla,9595
Pongo abelii,Sumatran orangutan,9601
Chlorocebus sabaeus,green monkey,60711
Callithrix jacchus,white-tufted-ear marmoset,9483
Cebus imitator,Panamanian white-faced capuchin,2715852
Sapajus apella,Tufted capuchin,9515
Marmota monax,woodchuck,9995
Urocitellus parryii,Arctic ground squirrel,9999
Dipodomys ordii,Ord's kangaroo rat,10020
Marmota marmota marmota,Alpine marmot,9994
Ictidomys tridecemlineatus,thirteen-lined ground squirrel,43179
Aotus nancymaae,Ma's night monkey,37293
Carlito syrichta,Philippine tarsier,1868482
Marmota flaviventris,yellow-bellied marmot,93162
Pteropus alecto,black flying fox,9402
Hyaena hyaena,striped hyena,95912
Pteropus vampyrus,large flying fox,132908
Ovis aries,sheep,9940
Tupaia chinensis,Chinese tree shrew,246437
Colobus angolensis palliatus,NA,336983
Bubalus bubalis,water buffalo,89462
Bos indicus,zebu cattle,9915
Bos mutus,wild yak,72004
Ailuropoda melanoleuca,giant panda,9646
Ursus arctos horribilis,NA,116960
Heterocephalus glaber,naked mole-rat,10181
Bos taurus,cattle,9913
Bison bison bison,NA,43346
Ursus maritimus,polar bear,29073
Capra hircus,goat,9925
Enhydra lutris kenyoni,NA,391180
Lontra canadensis,Northern American river otter,76717
Castor canadensis,American beaver,51338
Odocoileus virginianus texanus,NA,9880
Otolemur garnettii,small-eared galago,30611
Odobenus rosmarus divergens,Pacific walrus,9708
Callorhinus ursinus,northern fur seal,34884
Phoca vitulina,harbor seal,9720
Lynx pardinus,Spanish lynx,191816
Balaenoptera acutorostrata scammoni,NA,310752
Saimiri boliviensis boliviensis,Bolivian squirrel monkey,39432
Lipotes vexillifer,Yangtze River dolphin,118797
Acinonyx jubatus,cheetah,32536
Lynx canadensis,Canada lynx,61383
Felis catus,domestic cat,9685
Mesocricetus auratus,golden hamster,10036
Orcinus orca,killer whale,9733
Fukomys damarensis,Damara mole-rat,885580
Piliocolobus tephrosceles,Ugandan red Colobus,591936
Muntiacus muntjak,muntjak,9888
Myotis brandtii,Brandt's bat,109478
Leptonychotes weddellii,Weddell seal,9713
Muntiacus reevesi,Reeves' muntjac,9886
Mirounga leonina,Southern elephant seal,9715
Mustela putorius furo,domestic ferret,9669
Myotis myotis,NA,51298
Crocuta crocuta,spotted hyena,9678
Myotis davidii,NA,225400
Puma concolor,puma,9696
Rhinopithecus bieti,black snub-nosed monkey,61621
Mustela erminea,ermine,36723
Neomonachus schauinslandi,Hawaiian monk seal,29088
Rhinopithecus roxellana,golden snub-nosed monkey,61622
Canis lupus familiaris,dog,9615
Canis lupus dingo,dingo,286419
Rhinolophus ferrumequinum,greater horseshoe bat,59479
Oryctolagus cuniculus,rabbit,9986
Phocoena sinus,vaquita,42100
Mus caroli,Ryukyu mouse,10089
Mus pahari,shrew mouse,10093
Mus musculus,house mouse,10090
Neophocaena asiaeorientalis asiaeorientalis,Yangtze finless porpoise,1706337
Equus asinus,ass,9793
Orycteropus afer afer,NA,1230840
Panthera tigris altaica,Amur tiger,74533
Chinchilla lanigera,long-tailed chinchilla,34839
Desmodus rotundus,common vampire bat,9430
Delphinapterus leucas,beluga whale,9749
Trachypithecus francoisi,Francois's langur,54180
Suricata suricatta,meerkat,37032
Globicephala melas,long-finned pilot whale,9731
Cricetulus griseus,Chinese hamster,10029
Cavia porcellus,domestic guinea pig,10141
Vulpes vulpes,red fox,9627
Rousettus aegyptiacus,Egyptian rousette,9407
Equus caballus,horse,9796
Hipposideros armiger,great roundleaf bat,186990
